Nombre_del_jugador,Club_del_Jugador,Part_jugados,puntos_clarin,Promedio_Puntos_Clarin,Puntos_Gran_DT,Promedio_Puntos_Gran_DT,Gol_de_Penal,Gol_en_Contra,Gol,Figura_de_la_cancha,Tarjeta_Amarilla,Tarjeta_roja,Penal_Errado,Valla_Invicta,Gol_de_Oro,Penal_atajado,Goles_recibidos
Blondel  Lucas,Tigre,6,35,5.83,56,9.33,0,0,1,1,0,0,0,3,0,,
Colombo  Nazareno,Def. y Justicia,5,27,5.4,42,8.4,0,0,1,1,0,1,0,2,0,,
Fabra  Frank,Boca,5,26,5.2,33,6.6,0,0,1,1,2,1,0,1,0,,
Garces  Facundo,Colon,6,35,5.83,46,7.67,0,0,1,0,1,0,0,1,0,,
Mura  Facundo,Racing,6,36,6,55,9.17,0,0,1,0,0,0,0,4,0,,
Almada  Facundo,Rosario Ctral.,6,31,5.17,55,9.17,0,0,2,0,0,0,0,2,0,,
Martinez  Mauricio,Racing,4,18,4.5,35,8.75,0,0,1,0,0,0,0,3,0,,
Diaz  Paulo,River,5,31,6.2,44,8.8,0,0,1,0,1,0,0,2,0,,
Rojas  Robert,River,4,20,5,37,9.25,0,0,1,0,0,0,0,3,0,,
Advincula  Luis,Boca,6,34,5.67,43,7.17,0,0,1,0,2,0,0,1,0,,
Aguirre  Braian,Lanus,4,22,5.5,35,8.75,0,0,1,0,0,0,0,1,0,,
Baez   Cristian,Rosario Ctral.,5,18,3.6,29,5.8,0,0,1,0,1,0,0,2,0,,
Mosevich  Leonel,Patronato,5,27,5.4,34,6.8,0,0,1,0,3,0,0,1,0,,
Ferrari  Gianluca,Godoy Cruz,6,31,5.17,36,6,0,0,1,0,2,0,0,0,0,,
Rogel  Agustin,Estudiantes,5,24,4.8,33,6.6,0,0,1,0,0,0,0,0,0,,
Perez  Matias,Lanus,6,32,5.33,54,9,0,0,2,0,2,0,0,3,0,,
Andueza  Federico,Sarmiento,6,33,5.5,42,7,0,0,1,0,2,0,0,2,0,,
Izquierdoz  Carlos,Boca,6,31,5.17,40,6.67,0,0,1,0,1,0,0,1,0,,
Mac Allister  Kevin,Argentinos,6,33,5.5,46,7.67,0,0,1,0,1,0,0,2,0,,
Polenta  Diego,Union,4,22,5.5,35,8.75,0,0,1,0,0,0,0,2,0,,
Tanco  Gregorio,Banfield,1,6,6,15,15,0,0,1,0,0,0,0,0,0,,
Tripichio  Nicolas,Def. y Justicia,6,32,5.33,41,6.83,0,0,1,0,1,0,0,1,0,,
Ferreyra  Nicolas,Barracas Ctral.,5,26,5.2,35,7,0,0,1,0,1,0,0,0,0,,
Giannetti  Lautaro,Velez,5,29,5.8,37,7.4,0,0,0,1,0,1,0,4,0,,
Luciatti  Abel,Tigre,6,34,5.67,44,7.33,0,0,0,1,0,0,0,3,0,,
Laso  Joaquin,Independiente,3,9,3,18,6,0,0,1,0,1,1,0,2,0,,
Zapata  Cristian,San Lorenzo,6,31,5.17,42,7,0,0,1,0,1,0,0,2,0,,
Glaby  Dylan,Barracas Ctral.,6,30,5,32,5.33,0,0,0,1,1,0,0,0,0,,
Lema  Cristian,Newell's,6,33,5.5,38,6.33,1,0,0,0,2,0,0,2,0,,
